Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vehicle types,Count of vehicle_desc,,Q4,,,Q6,,,,,,,,,,,,,,,,,,,,,,,,
Stationwagon,944,,region /density,Count of vehicle_id,,stolen months,Count of Years,,,,,,,,,,,,,,,,,,,,,,,
Saloon,850,,343.09,"1,638",,Mar,"1,053",,,,,,,,,,,,,,,,,,,,,,,
Hatchback,644,,14.72,660,,Feb,763,,,,,,,,,,,,,,,,,,,,,,,
Trailer,572,,28.8,446,,Jan,740,,,,,,,,,,,,,,,,,,,,,,,
Utility,466,,67.52,420,,Dec,644,,,,,,,,,,,,,,,,,,,,,,,
Roadbike,297,,21.5,371,,Nov,560,,,,,,,,,,,,,,,,,,,,,,,
Moped,187,,16.11,234,,Oct,464,,,,,,,,,,,,,,,,,,,,,,,
Light Van,154,,6.21,176,,Apr,329,,,,,,,,,,,,,,,,,,,,,,,
Boat Trailer,104,,7.89,139,,Grand Total,"4,553",,,,,,,,,,,,,,,,,,,,,,,
Trailer - Heavy,89,,11.62,139,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,4307,,17.55,112,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12.92,100,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2,,,129.15,92,,Q7,,,,,,,,,,,,,,,,,,,,,,,,
vehicle makes,Count of vehicle_id,,3.28,26,,vehicle_makes,Count of date_stolen,,,,,,,,,,,,,,,,,,,,,,,
Toyota,716,,Grand Total,"4,553",,Standard,"4,348",,,,,,,,,,,,,,,,,,,,,,,
Trailer,543,,,,,Luxury,190,,,,,,,,,,,,,,,,,,,,,,,
Nissan,482,,,,,Grand Total,"4,538",,,,,,,,,,,,,,,,,,,,,,,
Mazda,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ford,312,,Q5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda,271,,vehicle colors,Count of vehicle_id,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitsubishi,204,,Silver,"1,272",,Q8,,,,,,,,,,,,,,,,,,,,,,,,
Subaru,202,,White,934,,highest region theft,Count of population,,,,,,,,,,,,,,,,,,,,,,,
Suzuki,164,,Black,589,,Auckland,"1,638",,,,,,,,,,,,,,,,,,,,,,,
Holden,160,,Blue,512,,Bay of Plenty,446,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,3487,,Red,390,,Canterbury,660,,,,,,,,,,,,,,,,,,,,,,,
,,,Grey,378,,Gisborne,176,,,,,,,,,,,,,,,,,,,,,,,
,,,Green,224,,Hawke's Bay,100,,,,,,,,,,,,,,,,,,,,,,,
Q3,,,Gold,77,,Manawatū-Whanganui,139,,,,,,,,,,,,,,,,,,,,,,,
theft region,vehicles,Count of country,Brown,49,,Nelson,92,,,,,,,,,,,,,,,,,,,,,,,
Auckland,"1,638","1,638",Yellow,39,,Northland,234,,,,,,,,,,,,,,,,,,,,,,,
Bay of Plenty,446,446,Orange,35,,Otago,139,,,,,,,,,,,,,,,,,,,,,,,
Canterbury,660,660,Purple,26,,Southland,26,,,,,,,,,,,,,,,,,,,,,,,
Gisborne,176,176,(blank),15,,Taranaki,112,,,,,,,,,,,,,,,,,,,,,,,
Hawke's Bay,100,100,Cream,9,,Waikato,371,,,,,,,,,,,,,,,,,,,,,,,
Manawatū-Whanganui,139,139,Pink,4,,Wellington,420,,,,,,,,,,,,,,,,,,,,,,,
Nelson,92,92,Grand Total,"4,553",,Grand Total,"4,553",,,,,,,,,,,,,,,,,,,,,,,
Northland,234,234,Q9,,,Q10,,,,,,,,,,,,,,,,,,,,,,,,
Otago,139,139,vehicle desc,Count of vehicle_desc,,highest region theft,Count of vehicle_id,,,,,,,,,,,,,,,,,,,,,,,
Southland,26,26,Stationwagon,944,,Stationwagon,945,,,,,,,,,,,,,,,,,,,,,,,
Taranaki,112,112,Saloon,850,,Saloon,851,,,,,,,,,,,,,,,,,,,,,,,
Waikato,371,371,Hatchback,644,,Hatchback,644,,,,,,,,,,,,,,,,,,,,,,,
Wellington,420,420,Trailer,572,,Trailer,582,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,"4,553","4,553",Utility,466,,Utility,466,,,,,,,,,,,,,,,,,,,,,,,
,,,Roadbike,297,,Roadbike,297,,,,,,,,,,,,,,,,,,,,,,,
,,,Moped,187,,Moped,187,,,,,,,,,,,,,,,,,,,,,,,
,,,Light Van,154,,Light Van,154,,,,,,,,,,,,,,,,,,,,,,,
,,,Boat Trailer,104,,Boat Trailer,105,,,,,,,,,,,,,,,,,,,,,,,
,,,Trailer - Heavy,89,,Trailer - Heavy,90,,,,,,,,,,,,,,,,,,,,,,,
,,,Other Truck,42,,Caravan,44,,,,,,,,,,,,,,,,,,,,,,,
,,,Caravan,40,,Other Truck,42,,,,,,,,,,,,,,,,,,,,,,,
,,,Sports Car,40,,Sports Car,40,,,,,,,,,,,,,,,,,,,,,,,
,,,Flat Deck Truck,17,,(blank),26,,,,,,,,,,,,,,,,,,,,,,,
,,,Mobile Home - Light,15,,Flat Deck Truck,17,,,,,,,,,,,,,,,,,,,,,,,
,,,Convertible,12,,Mobile Home - Light,15,,,,,,,,,,,,,,,,,,,,,,,
,,,(blank),11,,Convertible,12,,,,,,,,,,,,,,,,,,,,,,,
,,,Cab and Chassis Only,8,,Cab and Chassis Only,8,,,,,,,,,,,,,,,,,,,,,,,
,,,Heavy Van,7,,Heavy Van,7,,,,,,,,,,,,,,,,,,,,,,,
,,,Light Bus,6,,Light Bus,6,,,,,,,,,,,,,,,,,,,,,,,
,,,All Terrain Vehicle,5,,All Terrain Vehicle,5,,,,,,,,,,,,,,,,,,,,,,,
,,,Tractor,4,,Tractor,4,,,,,,,,,,,,,,,,,,,,,,,
,,,Trail Bike,2,,Trail Bike,2,,,,,,,,,,,,,,,,,,,,,,,
,,,Mobile Machine,2,,Mobile Machine,2,,,,,,,,,,,,,,,,,,,,,,,
,,,Special Purpose Vehicle,1,,Special Purpose Vehicle,1,,,,,,,,,,,,,,,,,,,,,,,
,,,Articulated Truck,1,,Articulated Truck,1,,,,,,,,,,,,,,,,,,,,,,,
,,,Grand Total,4520,,Grand Total,4553,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
